"Year","Species","Biomass","Biomass_base","Biomass_opt"
1991,"WITCH FLOUNDER",5884878980,22096511713.5399,17239261877.0258
1992,"WITCH FLOUNDER",5628297340,17456452854.9922,12850595890.7064
1993,"WITCH FLOUNDER",5520450730,13081583574.4973,10374839674.9562
1994,"WITCH FLOUNDER",7170579010,12946794357.8288,12258075329.8127
1995,"WITCH FLOUNDER",7136687010,13319416076.2317,16454586597.5593
1996,"WITCH FLOUNDER",8631384900,13437394086.0838,22446691414.3637
1997,"WITCH FLOUNDER",14486507350,13364906786.2256,29620038704.9027
1998,"WITCH FLOUNDER",12159430790,13143380485.9736,36790920329.5454
1999,"WITCH FLOUNDER",17894646140,12792191920.0958,42535424255.5102
2000,"WITCH FLOUNDER",11567976250,12352553870.7351,45696726108.3941
2001,"WITCH FLOUNDER",16824239920,11856012712.8747,45912284660.4346
2002,"WITCH FLOUNDER",9153659580,11283046985.551,43792388471.2813
2003,"WITCH FLOUNDER",16489520900,10730941245.7276,40930794031.8509
2004,"WITCH FLOUNDER",9464519810,10163626677.4781,38482820663.0103
2005,"WITCH FLOUNDER",18908815070,9592221542.21304,37064796794.7775
2006,"WITCH FLOUNDER",16749878860,9022255060.75147,36514023284.5503
2007,"WITCH FLOUNDER",20420344900,8460306241.80396,36333560875.0762
2008,"WITCH FLOUNDER",12530553090,7911572756.91212,36113386691.3044
2009,"WITCH FLOUNDER",43003183260,7380297683.25039,35683488418.7421
2010,"WITCH FLOUNDER",15927378230,6869609143.25066,35073794738.4522
1970,"YELLOWTAIL FLOUNDER",76941523770,83180321643.8901,83180321643.8901
1971,"YELLOWTAIL FLOUNDER",65587644440,83107355185.9393,83107355185.9393
1972,"YELLOWTAIL FLOUNDER",71329413310,82969791954.8902,82969791954.8902
1973,"YELLOWTAIL FLOUNDER",73773336040,81521478873.6331,81521478873.6331
1974,"YELLOWTAIL FLOUNDER",99139250650,80439254635.2514,80439254635.2514
1975,"YELLOWTAIL FLOUNDER",113777069500,79629207592.3026,79629207592.3026
1976,"YELLOWTAIL FLOUNDER",77505559220,79181905822.3372,79181905822.3372
1977,"YELLOWTAIL FLOUNDER",202593786600,78636086699.7608,78636086699.7608
1978,"YELLOWTAIL FLOUNDER",49709980770,79240411402.8385,79240411402.8385
1979,"YELLOWTAIL FLOUNDER",69297597150,79186596346.434,79186596346.434
1980,"YELLOWTAIL FLOUNDER",50223795150,78746613750.3318,78746613750.3318
1981,"YELLOWTAIL FLOUNDER",76577157230,77085753067.1037,77085753067.1037
1982,"YELLOWTAIL FLOUNDER",75240886580,76180376562.0658,76180376562.0658
1983,"YELLOWTAIL FLOUNDER",48321267960,75940931574.549,75940931574.549
1984,"YELLOWTAIL FLOUNDER",54855432830,76413191977.5428,76413191977.5428
1985,"YELLOWTAIL FLOUNDER",55253744910,77565913941.2183,77565913941.2183
1986,"YELLOWTAIL FLOUNDER",45250177760,79210683918.7038,79210683918.7038
1987,"YELLOWTAIL FLOUNDER",56715620950,81078097589.9831,81078097589.9831
1988,"YELLOWTAIL FLOUNDER",46205675550,82794519159.2786,79466273505.6548
1989,"YELLOWTAIL FLOUNDER",53843903690,84165491754.68,74514402414.7989
1990,"YELLOWTAIL FLOUNDER",72533947400,85256785298.0669,66991366375.6795
1991,"YELLOWTAIL FLOUNDER",76407601120,85931014754.0839,57744961877.4168
1992,"YELLOWTAIL FLOUNDER",76177667780,86025103566.2245,47769494478.8812
1993,"YELLOWTAIL FLOUNDER",43131514840,85500676110.6698,38119185853.735
1994,"YELLOWTAIL FLOUNDER",38969633990,85882907288.1567,30161535862.9907
1995,"YELLOWTAIL FLOUNDER",44393915440,86079898889.9487,23722412207.9992
1996,"YELLOWTAIL FLOUNDER",37979897630,85820196272.6718,18790204619.3494
1997,"YELLOWTAIL FLOUNDER",112568412900,85146494065.6843,15207127833.2725
1998,"YELLOWTAIL FLOUNDER",55652342100,84101609955.6091,12662944304.6519
1999,"YELLOWTAIL FLOUNDER",65284764250,82724556715.3687,10794520825.6005
2000,"YELLOWTAIL FLOUNDER",50451266080,81066126262.7397,9302869950.622
2001,"YELLOWTAIL FLOUNDER",33952733770,79176224144.4246,8033796289.92235
2002,"YELLOWTAIL FLOUNDER",40356319990,77085567143.9325,6960444223.596
2003,"YELLOWTAIL FLOUNDER",24862517730,74863524396.8972,6117487208.33231
2004,"YELLOWTAIL FLOUNDER",58344141490,72527773104.1515,5501758640.26437
2005,"YELLOWTAIL FLOUNDER",40897669730,70109355850.8218,5052732331.91627
2006,"YELLOWTAIL FLOUNDER",75667539890,67634312306.0526,4697834047.8865
2007,"YELLOWTAIL FLOUNDER",76097259010,65125836100.7137,4389572015.85563
2008,"YELLOWTAIL FLOUNDER",36926098280,62603540749.2375,4106407470.48396
2009,"YELLOWTAIL FLOUNDER",93121761320,60083933579.3212,3843671066.8473
2010,"YELLOWTAIL FLOUNDER",64276188070,57580658851.7314,3603674070.03445
