"Year","Species","Yield_base"
2003,"HERRING(ATLANTIC)",133615608.56247
2004,"HERRING(ATLANTIC)",4189450.243015
2005,"HERRING(ATLANTIC)",9091628.17265407
2006,"HERRING(ATLANTIC)",60740197.0803694
2007,"HERRING(ATLANTIC)",9756753.7870253
2008,"HERRING(ATLANTIC)",43876353.7279548
2009,"HERRING(ATLANTIC)",140437640.050293
2010,"HERRING(ATLANTIC)",132497689.627434
1970,"ATLANTIC HALIBUT",860160.571067271
1971,"ATLANTIC HALIBUT",894285.581684225
1972,"ATLANTIC HALIBUT",849407.897438541
1973,"ATLANTIC HALIBUT",697774.082794377
1974,"ATLANTIC HALIBUT",407543.50655763
1975,"ATLANTIC HALIBUT",314837773.440911
1976,"ATLANTIC HALIBUT",1633771783.01452
1977,"ATLANTIC HALIBUT",189107256.882869
1978,"ATLANTIC HALIBUT",451779557.976151
1979,"ATLANTIC HALIBUT",4555691336.09498
1980,"ATLANTIC HALIBUT",4099419256.71972
1981,"ATLANTIC HALIBUT",1790242435.77221
1982,"ATLANTIC HALIBUT",1210643154.03327
1983,"ATLANTIC HALIBUT",843973298.952853
1984,"ATLANTIC HALIBUT",1081539895.75434
1985,"ATLANTIC HALIBUT",993480278.704266
1986,"ATLANTIC HALIBUT",592064880.836778
1987,"ATLANTIC HALIBUT",472792443.994223
1988,"ATLANTIC HALIBUT",619480638.281733
1989,"ATLANTIC HALIBUT",565558385.601836
1990,"ATLANTIC HALIBUT",478120224.190384
1991,"ATLANTIC HALIBUT",275606762.673606
1992,"ATLANTIC HALIBUT",214412959.43823
1993,"ATLANTIC HALIBUT",200525219.834074
1994,"ATLANTIC HALIBUT",96734790.0385326
1995,"ATLANTIC HALIBUT",193269807.830322
1996,"ATLANTIC HALIBUT",260393256.764693
1997,"ATLANTIC HALIBUT",173923966.290866
1998,"ATLANTIC HALIBUT",16410463.0524746
1999,"ATLANTIC HALIBUT",85086616.490237
2000,"ATLANTIC HALIBUT",32631981.8266032
2001,"ATLANTIC HALIBUT",36498819.6978973
2002,"ATLANTIC HALIBUT",36144164.3455614
2003,"ATLANTIC HALIBUT",18140525.2158342
2004,"ATLANTIC HALIBUT",5592253.4229427
2005,"ATLANTIC HALIBUT",6067651.81393623
2006,"ATLANTIC HALIBUT",6524655.38679902
2007,"ATLANTIC HALIBUT",6963571.89590127
2008,"ATLANTIC HALIBUT",7384388.44329407
2009,"ATLANTIC HALIBUT",7787016.6233186
2010,"ATLANTIC HALIBUT",8171472.30379167
1970,"REDFISH UNSEPARATED",2680421635.81667
1971,"REDFISH UNSEPARATED",1598504654.34848
1972,"REDFISH UNSEPARATED",296652513.908028
1973,"REDFISH UNSEPARATED",32644034998.1646
1974,"REDFISH UNSEPARATED",63551243427.9764
1975,"REDFISH UNSEPARATED",10899858675.8924
1976,"REDFISH UNSEPARATED",13722119570.2293
1977,"REDFISH UNSEPARATED",71088693421.1668
1978,"REDFISH UNSEPARATED",42822597578.8657
1979,"REDFISH UNSEPARATED",29545679205.1362
1980,"REDFISH UNSEPARATED",22126697340.9077
1981,"REDFISH UNSEPARATED",16782202852.4962
1982,"REDFISH UNSEPARATED",6750038320.98081
1983,"REDFISH UNSEPARATED",9084932210.68563
1984,"REDFISH UNSEPARATED",7684538262.35553
1985,"REDFISH UNSEPARATED",4588829307.30082
1986,"REDFISH UNSEPARATED",1528720597.40579
1987,"REDFISH UNSEPARATED",7436613780.32368
1988,"REDFISH UNSEPARATED",4050514465.69017
1989,"REDFISH UNSEPARATED",5074649086.48451
1990,"REDFISH UNSEPARATED",3210890009.097
1991,"REDFISH UNSEPARATED",363453953.933628
1992,"REDFISH UNSEPARATED",12775363427.8853
