"Year","Species","Weight"
2007,"ATLANTIC HALIBUT",5257.87821326472
2008,"ATLANTIC HALIBUT",2587.94434979344
2009,"ATLANTIC HALIBUT",3075.64842564405
2010,"ATLANTIC HALIBUT",2101.37789618494
1970,"GREENLAND HALIBUT",375.830417294634
1971,"GREENLAND HALIBUT",334.032920668274
1972,"GREENLAND HALIBUT",1243.26438072005
1973,"GREENLAND HALIBUT",92.9394144069857
1974,"GREENLAND HALIBUT",133.470513690762
1975,"GREENLAND HALIBUT",216.455254943056
1976,"GREENLAND HALIBUT",405.989379023323
1977,"GREENLAND HALIBUT",1046.98362307008
1978,"GREENLAND HALIBUT",2356.06314993499
1979,"GREENLAND HALIBUT",913.784084083797
1980,"GREENLAND HALIBUT",1910.3504786836
1981,"GREENLAND HALIBUT",3531.5624624347
1982,"GREENLAND HALIBUT",162.242618913257
1983,"GREENLAND HALIBUT",124.922149085984
1984,"GREENLAND HALIBUT",82.1237108694838
1985,"GREENLAND HALIBUT",280.527907533715
1986,"GREENLAND HALIBUT",251.271158561217
1987,"GREENLAND HALIBUT",274.69377456126
1988,"GREENLAND HALIBUT",221.200254332684
1989,"GREENLAND HALIBUT",302.696291651832
1990,"GREENLAND HALIBUT",243.490889953761
1991,"GREENLAND HALIBUT",237.995257779934
1992,"GREENLAND HALIBUT",236.588775420465
1993,"GREENLAND HALIBUT",179.519976453969
1994,"GREENLAND HALIBUT",81.2257245777828
1995,"GREENLAND HALIBUT",233.267389981585
1996,"GREENLAND HALIBUT",97.9677864720547
1997,"GREENLAND HALIBUT",237.894916098762
1998,"GREENLAND HALIBUT",275.070591456697
1999,"GREENLAND HALIBUT",469.777944481801
2000,"GREENLAND HALIBUT",173.656541226185
2001,"GREENLAND HALIBUT",342.776893517807
2002,"GREENLAND HALIBUT",202.937792964424
2003,"GREENLAND HALIBUT",112.686962480292
2004,"GREENLAND HALIBUT",304.712026142054
2005,"GREENLAND HALIBUT",165.085336784121
2006,"GREENLAND HALIBUT",174.577041085199
2007,"GREENLAND HALIBUT",220.169173620465
2008,"GREENLAND HALIBUT",340.178990712245
2009,"GREENLAND HALIBUT",231.570741597786
2010,"GREENLAND HALIBUT",420.137162415534
1970,"HADDOCK",597.933827052088
1971,"HADDOCK",456.113842026508
1972,"HADDOCK",448.798390861514
1973,"HADDOCK",568.426694877902
1974,"HADDOCK",677.201283032831
1975,"HADDOCK",476.417843975326
1976,"HADDOCK",374.566420944864
1977,"HADDOCK",461.83768585669
1978,"HADDOCK",417.208048635004
1979,"HADDOCK",655.204789954137
1980,"HADDOCK",737.998272191155
1981,"HADDOCK",259.372532131909
1982,"HADDOCK",301.61592110889
1983,"HADDOCK",282.901802584828
