"Year","Country","GearCode","Tonnage","MainSpecies","Divcode","Code","Effort","Catches","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","DateCreated"
1960,2,10,4,3,34,114,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30/7/1996 0:00:00
1960,2,10,4,3,34,186,0,0,0,0,0,0,0,0,0,0,0,0,6,0,30/7/1996 0:00:00
1960,2,10,4,3,34,188,0,0,0,0,0,0,0,0,1,0,1,0,0,0,30/7/1996 0:00:00
1960,2,10,4,3,34,199,0,0,0,0,0,0,0,0,14,0,1,0,24,0,30/7/1996 0:00:00
1960,2,10,4,29,34,1,0,0,9,38,89,64,161,0,24,0,73,166,553,127,30/7/1996 0:00:00
1960,2,10,4,29,34,2,0,0,1,3,7,5,11,0,2,0,6,11,40,10,30/7/1996 0:00:00
1960,2,10,4,29,34,101,0,0,9,6,2,6,22,0,0,0,4,0,8,20,30/7/1996 0:00:00
1960,2,10,4,29,34,102,0,0,0,6,40,30,2,0,0,0,0,43,122,8,30/7/1996 0:00:00
1960,2,10,4,29,34,103,0,0,0,0,0,1,0,0,0,0,4,0,6,0,30/7/1996 0:00:00
1960,2,10,4,29,34,106,0,0,0,0,2,9,0,0,0,0,0,0,1,0,30/7/1996 0:00:00
1960,2,10,4,29,34,112,0,0,0,0,1,0,20,0,8,0,44,38,132,21,30/7/1996 0:00:00
1960,2,10,4,29,34,114,0,0,5,10,23,3,103,0,0,0,0,0,133,16,30/7/1996 0:00:00
1960,2,10,4,29,34,116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30/7/1996 0:00:00
1960,2,10,4,29,34,120,0,0,0,0,2,1,0,0,0,0,0,0,1,0,30/7/1996 0:00:00
1960,2,10,4,29,34,186,0,0,0,4,4,2,1,0,0,0,0,0,2,2,30/7/1996 0:00:00
1960,2,10,4,29,34,188,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,34,199,0,0,0,0,0,3,0,0,0,0,1,0,9,0,30/7/1996 0:00:00
1960,2,51,3,16,34,1,0,0,0,0,0,0,119,80,0,15,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,16,34,2,0,0,0,0,0,0,10,6,0,2,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,16,34,101,0,0,0,0,0,0,0,2,0,1,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,16,34,120,0,0,0,0,0,0,14,8,0,2,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,16,34,186,0,0,0,0,0,0,1,0,0,2,0,0,0,0,30/7/1996 0:00:00
1960,2,51,4,16,34,1,0,0,0,0,15,82,653,523,19,376,329,38,0,0,30/7/1996 0:00:00
1960,2,51,4,16,34,2,0,0,0,0,2,9,46,48,2,31,29,3,0,0,30/7/1996 0:00:00
1960,2,51,4,16,34,101,0,0,0,0,0,5,39,32,0,59,75,0,0,0,30/7/1996 0:00:00
1960,2,51,4,16,34,120,0,0,0,0,1,9,72,58,2,30,35,2,0,0,30/7/1996 0:00:00
1960,2,51,4,16,34,144,0,0,0,0,0,0,0,3,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,4,16,34,186,0,0,0,0,0,0,0,10,0,3,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,2,35,1,0,0,129,24,252,44,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,2,35,2,0,0,9,6,17,4,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,2,35,101,0,0,0,2,9,13,25,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,2,35,102,0,0,0,112,55,133,28,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,2,35,106,0,0,0,5,0,2,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,2,35,112,0,0,2,1,8,2,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,2,35,114,0,0,22,4,85,2,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,2,35,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,2,35,186,0,0,0,4,1,2,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,2,35,199,0,0,0,6,0,3,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,3,35,1,0,0,0,0,0,0,0,0,0,0,90,0,16,0,30/7/1996 0:00:00
1960,2,10,4,3,35,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,30/7/1996 0:00:00
1960,2,10,4,3,35,101,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30/7/1996 0:00:00
1960,2,10,4,3,35,103,0,0,0,0,0,0,0,0,0,0,43,0,2,0,30/7/1996 0:00:00
1960,2,10,4,3,35,112,0,0,0,0,0,0,0,0,0,0,3,0,0,0,30/7/1996 0:00:00
1960,2,10,4,3,35,186,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,35,1,0,0,68,1118,879,1978,909,56,0,0,84,90,153,20,30/7/1996 0:00:00
1960,2,10,4,29,35,2,0,0,4,92,72,145,78,4,0,0,7,5,13,3,30/7/1996 0:00:00
1960,2,10,4,29,35,101,0,0,66,38,35,210,365,15,0,0,10,83,10,1,30/7/1996 0:00:00
1960,2,10,4,29,35,102,0,0,5,943,802,871,280,1,0,0,0,0,16,0,30/7/1996 0:00:00
1960,2,10,4,29,35,103,0,0,0,5,8,16,4,0,0,0,14,0,1,0,30/7/1996 0:00:00
1960,2,10,4,29,35,106,0,0,2,23,13,25,29,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,35,112,0,0,1,26,17,87,149,4,0,0,40,3,69,1,30/7/1996 0:00:00
1960,2,10,4,29,35,114,0,0,0,232,175,873,195,12,0,0,1,0,16,5,30/7/1996 0:00:00
1960,2,10,4,29,35,120,0,0,0,10,14,20,7,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,35,129,0,0,0,0,3,0,1,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,35,144,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30/7/1996 0:00:00
1960,2,10,4,29,35,186,0,0,0,20,33,32,12,1,0,0,1,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,35,188,0,0,0,1,1,5,4,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,29,35,199,0,0,0,27,10,36,34,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,16,35,1,0,0,0,45,13,39,11,171,64,32,124,431,81,0,30/7/1996 0:00:00
1960,2,51,3,16,35,2,0,0,0,4,1,3,1,11,5,4,15,35,8,0,30/7/1996 0:00:00
1960,2,51,3,16,35,101,0,0,0,0,0,0,0,10,0,2,0,2,0,0,30/7/1996 0:00:00
1960,2,51,3,16,35,106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30/7/1996 0:00:00
1960,2,51,3,16,35,120,0,0,0,9,1,4,0,22,6,6,14,37,4,0,30/7/1996 0:00:00
1960,2,51,3,16,35,144,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30/7/1996 0:00:00
1960,2,51,3,16,35,186,0,0,0,0,0,0,0,0,14,6,16,23,1,0,30/7/1996 0:00:00
1960,2,51,4,16,35,1,0,0,0,0,160,0,0,36,66,72,170,574,232,94,30/7/1996 0:00:00
1960,2,51,4,16,35,2,0,0,0,0,15,0,0,5,9,9,15,61,29,9,30/7/1996 0:00:00
1960,2,51,4,16,35,101,0,0,0,0,2,0,0,2,0,0,0,2,0,0,30/7/1996 0:00:00
1960,2,51,4,16,35,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,4,16,35,120,0,0,0,0,26,0,0,3,8,8,29,52,22,17,30/7/1996 0:00:00
1960,2,51,4,16,35,186,0,0,0,0,3,0,0,0,0,0,0,5,0,0,30/7/1996 0:00:00
1960,2,51,4,16,35,199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,51,3,16,36,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,30/7/1996 0:00:00
1960,2,51,3,16,36,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30/7/1996 0:00:00
1960,2,51,3,16,36,101,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30/7/1996 0:00:00
1960,2,51,3,16,36,120,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30/7/1996 0:00:00
1960,2,10,3,3,37,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30/7/1996 0:00:00
1960,2,10,3,3,37,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30/7/1996 0:00:00
1960,2,10,3,3,37,103,0,0,0,0,0,0,0,0,0,0,0,44,3,0,30/7/1996 0:00:00
1960,2,10,3,29,37,1,0,0,282,142,174,32,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,2,0,0,21,13,17,2,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,101,0,0,112,104,92,1,0,0,0,0,0,28,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,102,0,0,39,51,69,2,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,103,0,0,1,2,8,0,0,0,0,0,0,9,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,106,0,0,7,5,2,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,112,0,0,11,8,3,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,114,0,0,22,8,8,9,0,0,0,0,0,1,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,120,0,0,2,5,2,2,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,186,0,0,1,1,4,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,188,0,0,0,1,1,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,29,37,199,0,0,1,2,0,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,3,37,1,0,0,0,0,0,0,10,0,384,475,219,682,321,518,30/7/1996 0:00:00
1960,2,10,4,3,37,2,0,0,0,0,0,0,1,0,25,30,15,50,24,33,30/7/1996 0:00:00
1960,2,10,4,3,37,101,0,0,0,0,0,0,2,0,7,0,1,1,7,2,30/7/1996 0:00:00
1960,2,10,4,3,37,102,0,0,0,0,0,0,0,0,0,2,1,2,0,2,30/7/1996 0:00:00
1960,2,10,4,3,37,103,0,0,0,0,0,0,2,0,344,360,182,304,191,288,30/7/1996 0:00:00
1960,2,10,4,3,37,106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30/7/1996 0:00:00
1960,2,10,4,3,37,112,0,0,0,0,0,0,0,0,10,5,2,4,0,1,30/7/1996 0:00:00
1960,2,10,4,3,37,114,0,0,0,0,0,0,0,0,1,1,0,14,1,1,30/7/1996 0:00:00
1960,2,10,4,3,37,116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30/7/1996 0:00:00
1960,2,10,4,3,37,120,0,0,0,0,0,0,0,0,1,1,0,2,2,0,30/7/1996 0:00:00
1960,2,10,4,3,37,186,0,0,0,0,0,0,0,0,7,1,0,2,2,4,30/7/1996 0:00:00
1960,2,10,4,3,37,199,0,0,0,0,0,0,0,0,2,0,0,1,0,2,30/7/1996 0:00:00
1960,2,10,4,29,37,1,0,0,3106,1215,131,450,182,353,0,99,154,89,102,90,30/7/1996 0:00:00
1960,2,10,4,29,37,2,0,0,255,102,14,36,14,25,0,7,14,7,6,9,30/7/1996 0:00:00
